Date,Australia,China,Japan,NewZealand,Singapore,SouthKorea
20200101,0.0,27.0,0.0,0.0,0.0,0.0
20200102,0.0,27.0,0.0,0.0,0.0,0.0
20200103,0.0,44.0,0.0,0.0,0.0,0.0
20200104,0.0,44.0,0.0,0.0,0.0,0.0
20200105,0.0,59.0,0.0,0.0,0.0,0.0
20200106,0.0,59.0,0.0,0.0,0.0,0.0
20200107,0.0,59.0,0.0,0.0,0.0,0.0
20200108,0.0,59.0,0.0,0.0,0.0,0.0
20200109,0.0,59.0,0.0,0.0,0.0,0.0
20200110,0.0,59.0,0.0,0.0,0.0,0.0
20200111,0.0,59.0,0.0,0.0,0.0,0.0
20200112,0.0,59.0,0.0,0.0,0.0,0.0
20200113,0.0,59.0,0.0,0.0,0.0,0.0
20200114,0.0,59.0,0.0,0.0,0.0,0.0
20200115,0.0,59.0,1.0,0.0,0.0,0.0
20200116,0.0,59.0,1.0,0.0,0.0,0.0
20200117,0.0,63.0,1.0,0.0,0.0,0.0
20200118,0.0,80.0,1.0,0.0,0.0,0.0
20200119,0.0,216.0,1.0,0.0,0.0,0.0
20200120,0.0,235.0,1.0,0.0,0.0,1.0
20200121,0.0,386.0,1.0,0.0,0.0,1.0
20200122,0.0,526.0,1.0,0.0,0.0,1.0
20200123,0.0,623.0,1.0,0.0,0.0,1.0
20200124,0.0,882.0,2.0,0.0,3.0,2.0
20200125,1.0,1323.0,2.0,0.0,3.0,2.0
20200126,4.0,1988.0,3.0,0.0,4.0,3.0
20200127,4.0,2775.0,3.0,0.0,4.0,4.0
20200128,4.0,4528.0,4.0,0.0,5.0,4.0
20200129,4.0,5994.0,7.0,0.0,7.0,4.0
20200130,6.0,7734.0,11.0,0.0,10.0,4.0
20200131,7.0,9714.0,14.0,0.0,13.0,7.0
20200201,9.0,11809.0,15.0,0.0,16.0,12.0
20200202,11.0,14399.0,19.0,0.0,18.0,15.0
20200203,11.0,17211.0,20.0,0.0,18.0,15.0
20200204,11.0,20448.0,20.0,0.0,18.0,16.0
20200205,12.0,24320.0,25.0,0.0,24.0,18.0
20200206,13.0,28047.0,25.0,0.0,28.0,23.0
20200207,14.0,31207.0,25.0,0.0,30.0,24.0
20200208,14.0,34625.0,25.0,0.0,33.0,24.0
20200209,14.0,37232.0,25.0,0.0,40.0,25.0
20200210,14.0,40206.0,25.0,0.0,43.0,27.0
20200211,14.0,42696.0,25.0,0.0,45.0,28.0
20200212,14.0,44724.0,25.0,0.0,47.0,28.0
20200213,14.0,59865.0,29.0,0.0,50.0,28.0
20200214,15.0,64021.0,30.0,0.0,58.0,28.0
20200215,15.0,66559.0,38.0,0.0,67.0,28.0
20200216,15.0,68566.0,52.0,0.0,72.0,29.0
20200217,15.0,70618.0,59.0,0.0,75.0,30.0
20200218,15.0,72508.0,59.0,0.0,77.0,31.0
20200219,15.0,74258.0,66.0,0.0,81.0,46.0
20200220,15.0,74652.0,84.0,0.0,84.0,80.0
20200221,17.0,75543.0,93.0,0.0,85.0,155.0
20200222,21.0,76369.0,105.0,0.0,86.0,345.0
20200223,22.0,77016.0,132.0,0.0,89.0,601.0
20200224,22.0,77234.0,144.0,0.0,89.0,762.0
20200225,22.0,77749.0,144.0,0.0,90.0,892.0
20200226,22.0,78159.0,164.0,0.0,91.0,1146.0
20200227,23.0,78598.0,186.0,0.0,93.0,1595.0
20200228,23.0,78927.0,210.0,1.0,96.0,2022.0
20200229,25.0,79355.0,230.0,1.0,98.0,2931.0
20200301,26.0,79929.0,239.0,1.0,102.0,3526.0
20200302,29.0,80134.0,254.0,1.0,106.0,4212.0
20200303,33.0,80261.0,254.0,0.0,108.0,4812.0
20200304,41.0,80380.0,268.0,2.0,110.0,5328.0
20200305,52.0,80497.0,317.0,3.0,112.0,5766.0
20200306,59.0,80667.0,349.0,4.0,117.0,6284.0
20200307,63.0,80768.0,408.0,5.0,130.0,6767.0
20200308,74.0,80814.0,455.0,0.0,138.0,7134.0
20200309,80.0,80859.0,488.0,0.0,150.0,7382.0
20200310,100.0,80879.0,514.0,0.0,160.0,7513.0
20200311,112.0,80908.0,568.0,0.0,166.0,7755.0
20200312,126.0,80932.0,619.0,0.0,178.0,7869.0
20200313,156.0,80954.0,675.0,0.0,187.0,7979.0
20200314,197.0,80973.0,737.0,6.0,200.0,8086.0
20200315,249.0,80995.0,780.0,8.0,214.0,8162.0
20200316,298.0,81020.0,814.0,0.0,226.0,8236.0
20200317,375.0,81063.0,824.0,0.0,243.0,8320.0
20200318,454.0,81086.0,829.0,20.0,266.0,8413.0
20200319,565.0,81130.0,873.0,28.0,313.0,8565.0
20200320,709.0,81229.0,950.0,39.0,345.0,8652.0
20200321,874.0,81281.0,1007.0,53.0,385.0,8799.0
20200322,1098.0,81346.0,1046.0,66.0,432.0,8897.0
20200323,1709.0,81484.0,1089.0,102.0,455.0,8961.0
20200324,1823.0,81553.0,1128.0,142.0,509.0,9037.0
20200325,2423.0,81631.0,1193.0,189.0,558.0,9137.0
20200326,2799.0,81733.0,1268.0,262.0,568.0,9241.0
20200327,3166.0,81827.0,1364.0,338.0,594.0,9332.0
20200328,3378.0,81946.0,1499.0,416.0,732.0,9478.0
20200329,3809.0,82059.0,1693.0,476.0,803.0,9583.0
20200330,4093.0,82157.0,1866.0,552.0,844.0,9661.0
20200331,4557.0,82241.0,1953.0,647.0,844.0,9786.0
20200401,4707.0,82295.0,1953.0,647.0,879.0,9786.0
20200402,4976.0,82395.0,2178.0,723.0,1000.0,9976.0
20200403,5224.0,82465.0,2617.0,772.0,1049.0,10062.0
20200404,5548.0,82527.0,2935.0,824.0,1114.0,10156.0
20200405,5687.0,82575.0,3271.0,872.0,1189.0,10237.0
20200406,5744.0,82642.0,3654.0,911.0,1309.0,10284.0
20200407,5844.0,82698.0,3817.0,943.0,1375.0,10331.0
20200408,5956.0,82784.0,3906.0,969.0,1481.0,10384.0
20200409,6052.0,82870.0,4257.0,992.0,1623.0,10423.0
20200410,6152.0,82925.0,4667.0,1015.0,1909.0,10450.0
20200411,6238.0,83004.0,5347.0,1035.0,1909.0,10450.0
20200412,6289.0,83097.0,6748.0,1049.0,2299.0,10512.0
20200413,6322.0,83209.0,7255.0,1064.0,2532.0,10537.0
20200414,6366.0,83303.0,7645.0,1072.0,2918.0,10564.0
20200415,6416.0,83352.0,8100.0,1078.0,3252.0,10591.0
